years_composition,c1_familiarity,p1_familiarity,years_theory,percent_classical,p2_familiarity,years_instrument,music_listening,c2_familiarity
0,,,0,0,,0,3,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,4,3,
0,no,no,0,0,no,3,3,no
0,,,0,1,,0,4,
0,,,0,0,,2,3,
0,,,0,0,,0,4,
0,,,3,2,,2,1,
0,,,3,0,,5,4,
0,,,5,2,,5,4,
0,,,0,1,,0,3,
0,,,0,0,,3,4,
0,,,0,0,,2,4,
0,,,0,0,,0,4,
0,,,0,0,,2,3,
0,,,0,0,,0,3,
0,,,0,0,,5,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,3,
0,,,1,0,,2,4,
0,Bach,Chopin,0,0,,3,3,
0,,,0,0,,0,4,
3,,,0,0,,5,4,
4,,,0,0,,5,3,
0,,,0,0,,3,4,
0,,,3,1,,3,4,
0,,,0,0,,3,4,
0,,,0,1,,0,4,
0,,none,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,1,,5,3,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,3,
3,,,3,0,,5,4,
0,,,3,1,,3,4,
0,,,0,1,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,3,3,
0,,,1,0,,3,4,
0,,,0,2,,0,4,Bach
0,,,0,0,,3,4,
0,,,2,1,,3,4,
0,,,0,0,,0,3,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
4,,,2,0,,5,3,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,none,rondo alla turca,0,0,none,0,4,none
0,Mozart,na,0,0,na,0,4,Mozart
0,n/a,n/a,0,0,n/a,4,4,n/a
0,,,0,0,,0,3,
5,,,3,0,,5,4,
0,,,0,1,,0,3,
0,,,0,0,,3,3,
0,,,0,0,,0,4,
0,na,na,0,0,na,0,4,na
5,,,2,0,,5,4,
0,,,0,0,,0,4,
0,,,0,0,,1,3,
0,,,0,0,,0,3,
0,,,0,0,,0,4,
0,no,no,3,1,no,4,4,no
0,,,1,0,,1,4,
0,,,0,0,,4,4,
0,,,0,0,,0,3,
0,,,0,0,,2,3,
0,,,0,0,,2,3,
0,,,0,0,,0,3,
0,,,0,0,,0,3,
0,,,0,1,,0,3,
0,,,0,0,,2,4,
0,,,0,1,,0,4,
0,,,0,0,,0,4,
0,Mozart,,4,0,,4,3,
0,,,0,0,,0,4,
0,,,0,1,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,3,
0,,,0,0,,0,4,
0,NA,NA,0,1,NA,3,4,NA
5,,There was one that was Mazurka I think.,5,0,There were other pieces of songs that belonged to some other piece that I've forgotten the name.,5,3,
0,,,0,0,,0,4,
0,,,1,0,,5,4,
0,,,0,0,,0,3,
0,,,0,0,,3,4,
1,,,1,0,,4,4,
0,,,0,0,,5,1,
0,mozart,,1,1,,2,4,betoven
0,,,0,0,,0,3,
0,,,0,0,,3,4,
0,,,0,0,,0,4,
0,,,0,0,,0,3,
0,no,no,0,0,no,0,4,no
0,,,1,0,,4,4,
4,,,5,1,,5,4,
0,,,1,0,,4,4,
0,,,0,0,,5,4,
0,,,0,0,,0,3,
0,,,2,0,,5,4,
0,,,3,1,,4,4,
4,,,3,0,,5,4,
0,,,0,0,,0,4,
2,,,2,1,,5,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,5,4,Bach
0,,,0,0,,0,3,
0,,,0,0,,4,4,
0,,,3,0,,5,4,
0,,,0,0,,0,3,
0,,,0,0,,4,4,
4,,,5,1,,5,4,
1,,,1,0,,0,3,
0,,,0,0,,0,1,
0,,,0,0,,0,4,
0,,,3,0,,3,3,
0,,,0,0,,3,4,
0,,,0,0,,0,4,
0,,,0,0,,0,3,
0,,,0,0,,0,4,
0,,,3,2,,3,4,
0,na,na,0,0,na,0,4,na
0,,,0,0,,0,4,
0,,,1,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,3,
0,,,3,0,,4,4,
0,,,0,0,,3,3,
0,,,0,0,,0,3,
3,,,4,0,,4,4,
0,,,0,0,,0,4,
0,,,0,0,,2,4,
0,,,0,0,,0,4,
0,N/A,N/A,0,0,N/A,0,4,N/A
0,I don't know,I don't know,3,1,I don't know,3,4,I don't know
0,,,0,0,,0,4,
0,,,0,0,,3,4,
0,,,0,0,,1,4,
0,,,1,0,,5,4,
0,,,0,0,,0,3,
0,,,0,0,,0,4,
0,,,0,0,,4,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
3,Chopin,Ballade no 1,3,1,,5,4,Bach
0,,,1,0,,4,3,
0,,,0,0,,3,3,
0,,,0,0,,0,3,
0,,,1,0,,3,4,
0,,,0,0,,0,3,
0,,,0,1,,3,3,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,3,3,
0,,,3,0,,2,4,
0,,,0,0,,3,4,
0,,,2,0,,2,4,
0,,,0,1,,5,4,
0,,,,0,,0,3,
0,,,0,0,,3,3,
0,,,0,0,,0,4,
0,,,0,2,,0,4,
0,,,0,0,,0,4,
0,,,0,1,,1,3,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,2,
0,,,0,0,,0,4,
0,,,0,0,,3,4,
5,,,0,0,,5,4,
0,,,0,1,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,3,
0,,,0,0,,0,3,
0,,,0,0,,0,4,
0,,,0,0,,4,4,
0,,,0,0,,0,4,
0,Beethoven,Not sure of the name,2,0,,3,4,
0,,,0,1,,0,4,
2,,no,4,1,,5,3,
0,,,2,2,,2,4,
1,,,0,3,,5,4,
0,,,0,1,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,no,no,0,0,no,0,4,no
0,,,0,0,,0,4,
0,,,3,0,,3,3,
0,,,0,0,,0,4,
0,,,0,3,,0,4,
0,,,0,0,,0,4,
0,,,2,0,,5,4,
0,,,0,1,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,4,4,
0,,,0,0,,3,3,
0,,,0,0,,0,4,
0,,,0,0,,0,4,
0,,,0,0,,3,4,
0,,,2,0,,5,4,
0,,,0,0,,1,3,
0,,,0,0,,0,3,
0,,,3,0,,3,4,
0,Bach?,,0,0,,4,4,Beethoven?
0,,,3,1,,3,4,
0,,,0,0,,1,4,
0,,,0,0,,0,4,
0,n/a,n/a,0,2,n/a,0,4,n/a
0,,,0,0,,4,4,
0,,,0,0,,0,4,
0,,,2,0,,5,4,
0,No.,No.,0,0,No.,2,3,No.
0,,,4,0,,5,4,
0,,,0,0,,0,3,
0,,,0,0,,0,3,
0,,,3,0,,5,4,
